title,link,author,pubDate,description,isbn,isbn13,itemId,priceSales,priceStandard,mallType,stockStatus,mileage,cover,categoryId,categoryName,publisher,salesPoint,adult,fixedPrice,customerReviewRank,bestRank,subInfo,seriesInfo
나의 돈키호테,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337989482&amp;partner=openAPI&amp;start=api,김호연 (지은이),2024-04-25,150만 독자가 애독하며 수만 개의 입소문 리뷰를 탄생시킨 국민 힐링소설 『불편한 편의점』의 작가 김호연이 소설 『나의 돈키호테』로 돌아왔다. 이제는 사라진 옛날 동네 비디오 가게에서 시작되는 꿈과 모험의 여정을 담은 소설이다.,K852930477,9791161571768,337989482,16200,18000,BOOK,,900,https://image.aladin.co.kr/product/33798/94/coversum/k852930477_2.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,나무옆의자,62795,False,True,10,1,{},
녹나무의 여신,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339534294&amp;partner=openAPI&amp;start=api,"히가시노 게이고 (지은이), 양윤옥 (옮긴이)",2024-05-23,2020년 3월 히가시노 게이고의 작가 데뷔 35주년을 기념해 전 세계에 동시 출간된 《녹나무의 파수꾼》의 속편 《녹나무의 여신》이 이번에도 일본과 동시 출간된다. 레이토가 여러 사람과 만나 우여곡절을 거듭하며 기적의 새로운 의미를 찾아가는 내용을 담았다.,K682930336,9791138483049,339534294,16920,18800,BOOK,,940,https://image.aladin.co.kr/product/33953/42/coversum/k682930336_1.jpg,50998,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,㈜소미미디어,31380,False,True,10,2,{},
누군가를 이토록 사랑한 적,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=338244352&amp;partner=openAPI&amp;start=api,이병률 (지은이),2024-04-24,시인 이병률의 일곱번째 시집 『누군가를 이토록 사랑한 적』이 문학과지성사 시인선 601번으로 출간되었다. 사랑이라는 명명하에 바닷빛과 하늘빛이 절묘하게 어우러진 테두리와 낮은 채도의 소라색 바탕이 겹쳐진 이번 시집은 마치 파블로 피카소가 절친한 친구의 자살 이후 짙은 푸른색만을 고집했던 청색시대(1901~1904)를 연상시킨다.,8932042721,9788932042725,338244352,10800,12000,BOOK,,600,https://image.aladin.co.kr/product/33824/43/coversum/8932042721_1.jpg,51167,국내도서>소설/시/희곡>시>한국시,문학과지성사,48470,False,True,10,3,{},"{'seriesId': 4612, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=4612&amp;partner=openAPI', 'seriesName': '문학과지성 시인선 601'}"
내일의 으뜸,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=245688392&amp;partner=openAPI&amp;start=api,김빵 (지은이),2020-07-17,"김빵 장편소설. 대학 졸업을 앞두고 있는 평범한 취준생, 임솔. 아이돌 그룹 '감자전' 제5의 멤버 류선재의 덕후라는 사실을 숨긴 채 일반인 코스프레 중이다. 속보 - 아이돌 그룹 '감자전'의 멤버 류선재, 사망!",K882631974,9791165653330,245688392,11700,13000,BOOK,,650,https://image.aladin.co.kr/product/24568/83/coversum/k882631974_3.jpg,51125,국내도서>소설/시/희곡>로맨스소설>한국 로맨스소설,다향,46607,False,True,10,4,{},
프란츠 카프카 : 알려진 혹은 비밀스러운,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337401741&amp;partner=openAPI&amp;start=api,"라데크 말리 (지은이), 레나타 푸치코바 (그림), 김성환 (옮긴이), 편영수 (감수)",2024-05-07,"위대한 작가이기 전에 한 사람으로서의 프란츠 카프카. 사후 100주기를 추모하며 카프카의 삶과 작품 그리고 그의 세계를 돌아보고자 한다. 이미 카프카를 알고 있는 독자도, 카프카를 알고 싶은 독자도 이 책을 통해 새로운 시선으로 카프카를 보게 될 것이다.",K482930766,9791198275042,337401741,15300,17000,BOOK,,850,https://image.aladin.co.kr/product/33740/17/coversum/k482930766_3.jpg,50922,국내도서>소설/시/희곡>독일소설,소전서가,5855,False,True,10,5,{},
이처럼 사소한 것들,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=329386807&amp;partner=openAPI&amp;start=api,"클레어 키건 (지은이), 홍한별 (옮긴이)",2023-11-27,2023년 4월 국내에 처음 소개된 『맡겨진 소녀』로 국내 문인들과 문학 독자들의 열렬한 환호를 받은 클레어 키건의 대표작. 자신이 속한 사회 공동체의 은밀한 공모를 발견하고 자칫 모든 걸 잃을 수 있는 선택 앞에서 고뇌하는 한 남자의 내면을 그린 작품이다.,K472936042,9791130646381,329386807,12420,13800,BOOK,,690,https://image.aladin.co.kr/product/32938/68/coversum/k472936042_1.jpg,52652,국내도서>소설/시/희곡>세계의 소설>아일랜드소설,다산책방,190075,False,True,9,6,{},
"소년이 온다 (10주년 한정 특별판, 양장)",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339218521&amp;partner=openAPI&amp;start=api,한강 (지은이),2024-05-10,"2014년 만해문학상, 2017년 이탈리아 말라파르테 문학상을 수상하고 전세계 20여개국에 번역 출간되며 세계를 사로잡은 우리 시대의 소설 『소년이 온다』를 출간 10주년을 맞아 특별한정판으로 새롭게 선보인다.",8936434128,9788936434120,339218521,13500,15000,BOOK,,750,https://image.aladin.co.kr/product/33921/85/coversum/k532930932_1.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,창비,93179,False,True,10,7,{},
흐르는 강물처럼,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=331619107&amp;partner=openAPI&amp;start=api,"셸리 리드 (지은이), 김보람 (옮긴이)",2024-01-08,"자신이 아무것도 아닌 줄만 알았던 열일곱 살 소녀가 사랑의 환희와 상실의 고통을 온몸으로 감내하는 번데기 시절을 거쳐 비로소 나비가 되는 이야기다. 뒤돌아보지 않는 자연에서 배운, 거스를 수 없는 회복력으로 살아내는 주인공은 끝내 누구도 빼앗을 수 없는 결실을 거머쥔다.",K622937235,9791130649672,331619107,15300,17000,BOOK,,850,https://image.aladin.co.kr/product/33161/91/coversum/k622937235_2.jpg,50919,국내도서>소설/시/희곡>영미소설,다산책방,53663,False,True,10,8,{},
모순 - 개정판,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=25843736&amp;partner=openAPI&amp;start=api,양귀자 (지은이),2013-04-01,"작가 양귀자가 1998년 펴낸 세 번째 장편소설로, 책이 나온 지 한 달 만에 무서운 속도로 베스트셀러 1위에 진입, 출판계를 놀라게 하고 그해 최고의 베스트셀러로 자리 잡으면서 ‘양귀자 소설의 힘’을 다시 한 번 유감없이 보여준 소설이다.",8998441012,9788998441012,25843736,11700,13000,BOOK,,650,https://image.aladin.co.kr/product/2584/37/coversum/8998441012_3.jpg,50994,국내도서>소설/시/희곡>한국소설>2000년대 이전 한국소설,쓰다,116789,False,True,9,9,{},
율의 시선,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=338588321&amp;partner=openAPI&amp;start=api,김민서 (지은이),2024-04-26,『완득이』 『위저드 베이커리』 『페인트』 등 생생한 청소년의 현실을 담으며 꾸준한 사랑을 받아 온 창비청소년문학상이 반짝이는 신예 작가의 새 소설을 선보인다. “마지막 장을 넘긴 뒤에도 잔상이 남을 정도로 인상적이다.”라는 청소년심사단의 찬사와 함께 압도적인 지지를 받으며 수상작으로 선정된 김민서 장편소설 『율의 시선』이다.,893645725X,9788936457259,338588321,11700,13000,BOOK,,650,https://image.aladin.co.kr/product/33858/83/coversum/893645725x_1.jpg,50759,국내도서>청소년>청소년 문학>청소년 소설,창비,25515,False,True,10,10,{},"{'seriesId': 4516, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=4516&amp;partner=openAPI', 'seriesName': '창비청소년문학 125'}"
퐁 카페의 마음 배달 고양이,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=338999287&amp;partner=openAPI&amp;start=api,"시메노 나기 (지은이), 박정임 (옮긴이)",2024-05-10,"사랑하는 존재를 떠나보낸 이들에게 “만남”이라는 꿈결 같은 기적을 선물하는 이야기가 찾아왔다. 일본 힐링 소설 분야 베스트셀러 작가로 떠오르는 시메노 나기의 『퐁 카페의 마음 배달 고양이』는 저승과 이승을 잇는 특별한 카페를 배경으로, 19년의 묘생을 마친 후타가 가슴 아픈 이별을 경험한 사람들의 소원을 이루어주는 과정을 그린다.",K432930827,9791130651682,338999287,15300,17000,BOOK,,850,https://image.aladin.co.kr/product/33899/92/coversum/k432930827_1.jpg,51120,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설,놀,13690,False,True,10,11,{},
삼체 1~3 세트 - 전3권,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=243943792&amp;partner=openAPI&amp;start=api,"류츠신 (지은이), 이현아, 허유영 (옮긴이)",2020-07-06,아시아 최초로 휴고상을 수상하며 SF 거장으로 등극한 류츠신의 『삼체』의 개정 양장본 세트. 『1부―삼체문제』 『2부―암흑의 숲』 『3부―사신의 영생』으로 이어지는 ‘지구의 과거’ 3부작은 무수한 위험이 숨어 있는 ‘암흑의 숲’과 같은 우주에서 인류가 마주하게 될 운명을 대담한 상상력으로 그려냈다.,8954442684,9788954442688,243943792,60300,67000,BOOK,,3350,https://image.aladin.co.kr/product/24394/37/coversum/8954442684_3.jpg,89481,국내도서>소설/시/희곡>과학소설(SF)>외국 과학소설,자음과모음,64330,False,True,9,12,{},
2024 제15회 젊은작가상 수상작품집,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337111317&amp;partner=openAPI&amp;start=api,"김멜라, 공현진, 김기태, 김남숙, 김지연, 성해나, 전지영 (지은이)",2024-03-31,2010년 제정된 이래 해를 거듭하며 독자들의 뜨거운 사랑을 받고 있는 젊은작가상이 어느덧 15회를 맞았다. 저만의 문제의식과 치열한 언어로 문학의 지평을 넓혀온 데뷔 십 년 이하 작가들의 눈부신 발돋움을 조명하고자 마련된 젊은작가상은 지난해까지 모두 62명에 이르는 새로운 얼굴을 소개하며 한국문학에 생기를 더했다.,8954638740,9788954638746,337111317,6930,7700,BOOK,,380,https://image.aladin.co.kr/product/33711/13/coversum/8954638740_1.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,문학동네,79665,False,True,8,13,{},
내 이름은 데몬 코퍼헤드,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=336982163&amp;partner=openAPI&amp;start=api,"바버라 킹솔버 (지은이), 강동혁 (옮긴이)",2024-04-29,미국 생태주의 문학을 대표하며 국가 인문학 훈장을 수훈한 바버라 킹솔버의 최신작 장편소설이자 대표작으로 자리매김한 《내 이름은 데몬 코퍼헤드》는 175년 전 출간된 찰스 디킨스의 자전적 소설 《데이비드 코퍼필드》를 현대 독자의 감성에 맞추어 다시 쓰기 한 작품이다.,K112939149,9791167371683,336982163,22500,25000,BOOK,,1250,https://image.aladin.co.kr/product/33698/21/coversum/k112939149_2.jpg,50919,국내도서>소설/시/희곡>영미소설,은행나무,18950,False,True,9,14,{},
두 사람의 인터내셔널,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=338990710&amp;partner=openAPI&amp;start=api,김기태 (지은이),2024-05-15,"2022년 동아일보 신춘문예에서 “근래 보기 드문 강력하고 단단한 작품”, “처음부터 끝까지 단숨에 읽히게 만드는 흡인력이 돋보인다”는 평을 받으며 데뷔한 김기태의 첫 소설집 『두 사람의 인터내셔널』이 출간되었다.",8954697941,9788954697941,338990710,15120,16800,BOOK,,840,https://image.aladin.co.kr/product/33899/7/coversum/8954697941_1.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,문학동네,36640,False,True,10,15,{},
